ACCOUNTNUM,PERIOD,AMOUNTRECEIVED,CHECKOFFBATCHNO,CHECKOFFPERIOD,AMOUNT
EMP1005366,Nov-19,9232,CHOF-191218,Nov-19,9232
EMP1005366,Oct-19,9232,CHOF-185797,Oct-19,9232
EMP22103,Jan-20,9000,CHOF-193996,Jan-20,9000
EMP22318,Oct-19,8760.9,CHOF-185970,Oct-19,8760.9
EMP22318,Oct-19,8760.9,CHOF-185971,Oct-19,8760.9
EMP19661,Dec-19,8703,CHOF-191283,Dec-19,8703
EMP13954,Dec-19,8682,CHOF-193776,Dec-19,8682
EMP13954,Nov-19,8682,CHOF-188955,Nov-19,8682
EMP13954,Nov-19,8682,CHOF-188956,Nov-19,8682
EMP17032,Nov-16,8643.9,CHOF-019109,Oct-16,22132.5
EMP15209,Oct-19,8626.7,CHOF-186420,Oct-19,8626.7
EMP20625,Sep-19,8588,CHOF-002342,,0
EMP20625,Sep-19,8588,CHOF-003516,,0
EMP20625,Sep-19,8588,CHOF-004015,,0
EMP20625,Sep-19,8588,CHOF-004024,,0
EMP20625,Sep-19,8588,CHOF-008756,,0
EMP20625,Sep-19,8588,CHOF-010830,,0
EMP20625,Sep-19,8588,CHOF-012201,,0
EMP20625,Sep-19,8588,CHOF-012549,,0
EMP20625,Sep-19,8588,CHOF-012746,,0
EMP20625,Sep-19,8588,CHOF-012838,,0
EMP20625,Sep-19,8588,CHOF-012846,,0
EMP20625,Sep-19,8588,CHOF-012991,,0
EMP20625,Sep-19,8588,CHOF-013174,,0
EMP20625,Sep-19,8588,CHOF-013753,,0
EMP20625,Sep-19,8588,CHOF-013905,,0
EMP20625,Sep-19,8588,CHOF-014630,,0
EMP20625,Sep-19,8588,CHOF-014648,,0
EMP20625,Sep-19,8588,CHOF-014650,,0
EMP20625,Sep-19,8588,CHOF-015003,,0
EMP20625,Sep-19,8588,CHOF-015206,,0
EMP20625,Sep-19,8588,CHOF-015209,,0
EMP20625,Sep-19,8588,CHOF-015324,,0
EMP20625,Sep-19,8588,CHOF-015808,,0
EMP20625,Sep-19,8588,CHOF-015863,,0
EMP20625,Sep-19,8588,CHOF-015864,,0
EMP20625,Sep-19,8588,CHOF-015865,,0
EMP20625,Sep-19,8588,CHOF-016205,,0
EMP20625,Sep-19,8588,CHOF-016821,,0
EMP20625,Sep-19,8588,CHOF-016832,,0
EMP20625,Sep-19,8588,CHOF-016872,,0
EMP20625,Sep-19,8588,CHOF-016968,,0
EMP20625,Sep-19,8588,CHOF-017360,,0
EMP20625,Sep-19,8588,CHOF-017376,,0
EMP20625,Sep-19,8588,CHOF-017919,,0
EMP20625,Sep-19,8588,CHOF-018310,,0
EMP20625,Sep-19,8588,CHOF-018439,,0
EMP20625,Sep-19,8588,CHOF-018441,,0
EMP20625,Sep-19,8588,CHOF-018929,,0
EMP20625,Sep-19,8588,CHOF-018988,,0
EMP20625,Sep-19,8588,CHOF-018989,,0
EMP20625,Sep-19,8588,CHOF-019008,,0
EMP20625,Sep-19,8588,CHOF-019010,,0
EMP20625,Sep-19,8588,CHOF-019011,,0
EMP20625,Sep-19,8588,CHOF-019012,,0
EMP20625,Sep-19,8588,CHOF-019013,,0
EMP20625,Sep-19,8588,CHOF-019014,,0
EMP20625,Sep-19,8588,CHOF-019018,,0
EMP20625,Sep-19,8588,CHOF-019043,,0
EMP20625,Sep-19,8588,CHOF-019067,,0
EMP20625,Sep-19,8588,CHOF-019075,,0
EMP20625,Sep-19,8588,CHOF-019105,,0
EMP20625,Sep-19,8588,CHOF-019123,,0
EMP20625,Sep-19,8588,CHOF-019211,,0
EMP20625,Sep-19,8588,CHOF-019214,,0
EMP20625,Sep-19,8588,CHOF-019420,,0
EMP20625,Sep-19,8588,CHOF-019421,,0
EMP20625,Sep-19,8588,CHOF-019422,,0
EMP20625,Sep-19,8588,CHOF-019427,,0
EMP20625,Sep-19,8588,CHOF-019429,,0
EMP20625,Sep-19,8588,CHOF-019833,,0
EMP20625,Sep-19,8588,CHOF-019846,,0
EMP20625,Sep-19,8588,CHOF-019853,,0
EMP20625,Sep-19,8588,CHOF-021406,,0
EMP20625,Sep-19,8588,CHOF-021407,,0
EMP20625,Sep-19,8588,CHOF-021410,,0
EMP20625,Sep-19,8588,CHOF-021413,,0
EMP20625,Sep-19,8588,CHOF-021414,,0
EMP20625,Sep-19,8588,CHOF-021415,,0
EMP20625,Sep-19,8588,CHOF-021452,,0
EMP20625,Sep-19,8588,CHOF-021666,,0
EMP20625,Sep-19,8588,CHOF-023563,Nov-16,0
EMP20625,Sep-19,8588,CHOF-026194,,0
EMP20625,Sep-19,8588,CHOF-027424,,0
EMP20625,Sep-19,8588,CHOF-027503,,0
EMP20625,Sep-19,8588,CHOF-028825,,0
EMP20625,Sep-19,8588,CHOF-029053,,0
EMP20625,Sep-19,8588,CHOF-030574,,0
EMP20625,Sep-19,8588,CHOF-030915,,0
EMP20625,Sep-19,8588,CHOF-031887,,0
EMP20625,Sep-19,8588,CHOF-031993,,0
EMP20625,Sep-19,8588,CHOF-032294,,0
EMP20625,Sep-19,8588,CHOF-032299,,0
EMP20625,Sep-19,8588,CHOF-032345,,0
EMP20625,Sep-19,8588,CHOF-032361,,0
EMP20625,Sep-19,8588,CHOF-032369,,0
EMP20625,Sep-19,8588,CHOF-033332,,0
EMP20625,Sep-19,8588,CHOF-033339,,0
EMP20625,Sep-19,8588,CHOF-033341,,0
EMP20625,Sep-19,8588,CHOF-033738,,0
EMP20625,Sep-19,8588,CHOF-033860,,0
EMP20625,Sep-19,8588,CHOF-033861,,0
EMP20625,Sep-19,8588,CHOF-034318,,0
EMP20625,Sep-19,8588,CHOF-034337,,0
EMP20625,Sep-19,8588,CHOF-034339,,0
EMP20625,Sep-19,8588,CHOF-034343,,0
EMP20625,Sep-19,8588,CHOF-034544,,0
EMP20625,Sep-19,8588,CHOF-034559,,0
EMP20625,Sep-19,8588,CHOF-034653,,0
EMP20625,Sep-19,8588,CHOF-035006,,0
EMP20625,Sep-19,8588,CHOF-035507,,0
EMP20625,Sep-19,8588,CHOF-035647,,0
EMP20625,Sep-19,8588,CHOF-036421,,0
EMP20625,Sep-19,8588,CHOF-036602,,0
EMP20625,Sep-19,8588,CHOF-036903,,0
EMP20625,Sep-19,8588,CHOF-036904,,0
EMP20625,Sep-19,8588,CHOF-037075,,0
EMP20625,Sep-19,8588,CHOF-037559,,0
EMP20625,Sep-19,8588,CHOF-037671,,0
EMP20625,Sep-19,8588,CHOF-037909,,0
EMP20625,Sep-19,8588,CHOF-038001,,0
EMP20625,Sep-19,8588,CHOF-038550,,0
EMP20625,Sep-19,8588,CHOF-038571,,0
EMP20625,Sep-19,8588,CHOF-038599,,0
EMP20625,Sep-19,8588,CHOF-038728,,0
EMP20625,Sep-19,8588,CHOF-039028,,0
EMP20625,Sep-19,8588,CHOF-039029,,0
EMP20625,Sep-19,8588,CHOF-039384,,0
EMP20625,Sep-19,8588,CHOF-039385,,0
EMP20625,Sep-19,8588,CHOF-039595,,0
EMP20625,Sep-19,8588,CHOF-039876,,0
EMP20625,Sep-19,8588,CHOF-040107,,0
EMP20625,Sep-19,8588,CHOF-040369,,0
EMP20625,Sep-19,8588,CHOF-041149,,0
EMP20625,Sep-19,8588,CHOF-041323,,0
EMP20625,Sep-19,8588,CHOF-041355,,0
EMP20625,Sep-19,8588,CHOF-041665,,0
EMP20625,Sep-19,8588,CHOF-042653,,0
EMP20625,Sep-19,8588,CHOF-043301,,0
EMP20625,Sep-19,8588,CHOF-044024,,0
EMP20625,Sep-19,8588,CHOF-044935,,0
EMP20625,Sep-19,8588,CHOF-045393,,0
EMP20625,Sep-19,8588,CHOF-045662,,0
EMP20625,Sep-19,8588,CHOF-046007,,0
EMP20625,Sep-19,8588,CHOF-046922,,0
EMP20625,Sep-19,8588,CHOF-046923,,0
EMP20625,Sep-19,8588,CHOF-047286,,0
EMP20625,Sep-19,8588,CHOF-048793,,0
EMP20625,Sep-19,8588,CHOF-049403,,0
EMP20625,Sep-19,8588,CHOF-049926,,0
EMP20625,Sep-19,8588,CHOF-051806,,0
EMP20625,Sep-19,8588,CHOF-051809,,0
EMP20625,Sep-19,8588,CHOF-051810,,0
EMP20625,Sep-19,8588,CHOF-051949,,0
EMP20625,Sep-19,8588,CHOF-052108,,0
EMP20625,Sep-19,8588,CHOF-052109,,0
EMP20625,Sep-19,8588,CHOF-052167,,0
EMP20625,Sep-19,8588,CHOF-052289,,0
EMP20625,Sep-19,8588,CHOF-052348,,0
EMP20625,Sep-19,8588,CHOF-052351,,0
EMP20625,Sep-19,8588,CHOF-052354,,0
EMP20625,Sep-19,8588,CHOF-052357,,0
EMP20625,Sep-19,8588,CHOF-052537,,0
EMP20625,Sep-19,8588,CHOF-052547,,0
EMP20625,Sep-19,8588,CHOF-052564,,0
EMP20625,Sep-19,8588,CHOF-052631,,0
EMP20625,Sep-19,8588,CHOF-052652,,0
EMP20625,Sep-19,8588,CHOF-052729,,0
EMP20625,Sep-19,8588,CHOF-052818,,0
EMP20625,Sep-19,8588,CHOF-052820,,0
EMP20625,Sep-19,8588,CHOF-052909,,0
EMP20625,Sep-19,8588,CHOF-052912,,0
EMP20625,Sep-19,8588,CHOF-053008,,0
EMP20625,Sep-19,8588,CHOF-053015,,0
EMP20625,Sep-19,8588,CHOF-053050,,0
EMP20625,Sep-19,8588,CHOF-053109,,0
EMP20625,Sep-19,8588,CHOF-053119,,0
EMP20625,Sep-19,8588,CHOF-053138,,0
EMP20625,Sep-19,8588,CHOF-053157,,0
EMP20625,Sep-19,8588,CHOF-053268,,0
EMP20625,Sep-19,8588,CHOF-053349,,0
EMP20625,Sep-19,8588,CHOF-053357,,0
